timestamp (s);valore % gas;;;
59;11.73;07:45;Chieti;04/07/2024
119;11.24;;;
179;11.05;;;
239;11.05;;;
299;10.95;;;
359;10.95;;;
419;10.85;;;
479;10.85;;;
539;10.85;;;
599;10.85;;;
659;10.75;;;
719;10.75;;;
779;10.75;;;
839;10.75;;;
899;10.65;;;
959;10.65;;;
1019;10.65;;;
1079;10.65;;;
1139;10.65;;;
1199;10.56;;;
1259;10.65;;;
1319;10.56;;;
1379;10.56;;;
1439;10.56;;;
1499;10.46;;;
1559;10.36;;;
1619;10.36;;;
1679;10.46;;;
1739;10.46;;;
1799;10.46;;;
1859;10.46;;;
1919;10.46;;;
1979;10.36;;;
2039;10.36;;;
2099;10.36;;;
2159;10.36;;;
2219;10.46;;;
2279;10.46;;;
2339;10.46;;;
2399;10.36;;;
2459;10.46;;;
2519;10.46;;;
2579;10.46;;;
2639;10.46;;;
2699;10.46;;;
2759;10.46;;;
2819;10.46;;;
2879;10.46;;;
2939;10.46;;;
2999;10.36;;;
3059;10.36;;;
3119;10.36;;;
3179;10.36;;;
3239;10.36;;;
3299;10.36;;;
3359;10.36;;;
3419;10.36;;;
3479;10.26;;;
3539;10.26;;;
3599;10.26;;;
3659;10.26;;;
3719;10.26;;;
3779;10.17;;;
3839;9.97;;;
3899;9.87;;;
3959;9.87;;;
4019;9.87;;;
4079;9.68;;;
4139;9.78;;;
4199;9.68;;;
4259;9.78;;;
4319;9.78;;;
4379;10.07;;;
timestamp (s);valore % gas;;;
59;12.12;16:00;San Biase;04/07/2024
119;10.07;;;
179;9.38;;;
239;8.99;;;
299;9.68;;;
359;9.58;;;
419;8.90;;;
479;9.38;;;
539;9.87;;;
599;9.48;;;
659;9.58;;;
719;9.68;;;
779;9.78;;;
839;9.87;;;
899;9.87;;;
959;9.87;;;
1019;9.87;;;
1079;9.78;;;
1139;9.87;;;
1199;9.87;;;
1259;9.78;;;
1319;9.78;;;
1379;9.87;;;
1439;9.87;;;
1499;9.78;;;
1559;9.68;;;
1619;9.78;;;
1679;9.78;;;
1739;9.68;;;
1799;9.78;;;
1859;9.68;;;
1919;9.68;;;
1979;9.78;;;
2039;9.78;;;
2099;9.68;;;
2159;9.29;;;
2219;9.78;;;
2279;9.78;;;
2339;9.68;;;
2399;9.58;;;
2459;9.68;;;
2519;9.68;;;
2579;9.68;;;
2639;9.58;;;
2699;9.68;;;
2759;9.68;;;
2819;9.58;;;
2879;9.58;;;
2939;9.58;;;
2999;9.68;;;
3059;9.48;;;
3119;9.58;;;
3179;9.58;;;
3239;9.58;;;
3299;9.68;;;
3359;9.58;;;
3419;9.58;;;
3479;9.58;;;
3539;9.68;;;
3599;9.58;;;
3659;9.58;;;
3719;9.68;;;
3779;9.58;;;
3839;9.58;;;
3899;9.48;;;
